t,wind_phase,mean_err_m,max_err_m,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,throughput_ratio,latency_proxy,control_overhead,control_effort,control_smoothness,task_reassign,task_cost_mean,failed_count,alive_ratio,task_completion_proxy,system_utility,fault_comm_scale,fault_dropout_count,fault_sensor_count,agentic_active,agentic_ref_shift,supervisor_active,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold,sat_frac
0.0,0.0,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,1.1403882032022077,1.0,1.0,1.0,1.0,841771119.9918989,,0.0,7.3190429385894396,0.0,1.0,0.0,-3.4594311417916472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.020833333333333332,0.0,7.329945611546006,8.068533604203761,7.329945611546006,8.068533604203761,7.329945611546006,8.068533604203761,1.145439116003839,1.0,1.0,1.0,1.0,736792739.5402564,11342.860667848587,0.0,7.329945611546006,0.0,1.0,0.0,-3.4753847275498444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25
0.041666666666666664,0.0,7.3535818021097725,8.095869708151351,7.3535818021097725,8.095869708151351,7.3535818021097725,8.095869708151351,1.1688095140339594,1.0,1.0,1.0,1.0,356477056.35999995,6113.073750000001,0.0,7.3535818021097725,0.0,1.0,0.0,-3.5223913161437324,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0625,0.0,7.385792271708997,8.14033186111537,7.385792271708997,8.14033186111537,7.385792271708997,8.14033186111537,1.207618806700365,1.0,1.0,1.0,1.0,730860472.9444509,6044.578331156894,0.0,7.385792271708997,0.0,1.0,0.0,-3.5934110784093622,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25
0.08333333333333333,0.0,7.41439838530105,8.204050490640865,7.41439838530105,8.204050490640865,7.41439838530105,8.204050490640865,1.2852090455435055,1.0,1.0,1.0,1.0,356477056.35999995,6044.578331156894,0.0,7.41439838530105,0.0,1.0,0.0,-3.699607430844555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.10416666666666667,0.0,7.445336953806111,8.289056213001434,7.445336953806111,8.289056213001434,7.445336953806111,8.289056213001434,1.4066695733429193,1.0,1.0,1.0,1.0,356477056.35999995,0.0,0.0,7.445336953806111,0.0,1.0,0.0,-3.8520065271490296,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.125,0.0,7.49357861838187,8.397951045397862,7.49357861838187,8.397951045397862,7.49357861838187,8.397951045397862,1.5526731950862478,1.0,1.0,1.0,1.0,356477056.35999995,0.0,0.0,7.49357861838187,0.0,1.0,0.0,-4.046251813468118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.14583333333333334,0.0,7.568929579202777,8.533684338657709,7.568929579202777,8.533684338657709,7.568929579202777,8.533684338657709,1.7144256987878046,1.0,1.0,1.0,1.0,735860221.8009617,7284.773620087279,0.0,7.568929579202777,0.0,1.0,0.0,-4.283355277990582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.39532065568866626
0.16666666666666666,0.0,7.506131701777745,9.405146604947603,7.506131701777745,9.405146604947603,7.506131701777745,9.405146604947603,1.687406475224032,1.0,1.0,1.0,1.0,356477056.35999995,7284.773620087279,1.0,7.506131701777745,0.0,1.0,0.0,-4.193538177001777,1.0,0.0,0.0,0.0,1.707106781186548,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1875,0.0,7.544185355716632,9.53812267587835,7.544185355716632,9.53812267587835,7.544185355716632,9.53812267587835,1.8101197200849914,1.0,1.0,1.0,1.0,695381488.1162635,5628.767503390822,0.0,7.544185355716632,0.0,1.0,0.0,-4.354305075801623,1.0,0.0,0.0,0.0,1.7071067811865475,0.0,0.0,0.0,1.0,1.0,0.0,0.25
