controller,fault_t0_s,mean_err_pre,mean_err_fault,mean_err_post,max_err_fault,recovery_time_s,connectivity_pre,connectivity_fault,connectivity_post,task_completion_pre,task_completion_fault,task_completion_post,system_utility_pre,system_utility_fault,system_utility_post,err_fault_vs_pre_pct,err_post_vs_pre_pct,conn_fault_vs_pre_pct,conn_post_vs_pre_pct,task_fault_vs_pre_pct,task_post_vs_pre_pct,utility_fault_vs_pre_pct,utility_post_vs_pre_pct
openloop,30.0,40.16062942817721,36.571618305188885,56.59064840950836,91.49595446608846,0.0,0.42270833333333335,0.1353125,0.13125,0.0,0.0009375,0.002916666666666667,-54.184950790965075,-55.52981954566933,-86.60486586298616,-8.936640620652794,40.910760651085916,-67.98915722030557,-68.95022178413012,,,2.4819968184385703,59.83195444264731
pid,30.0,37.14551339971339,36.16138291502001,50.081679478416845,86.71194857768656,0.0,0.35854166666666665,0.23489583333333333,0.17760416666666667,0.0071875,0.0026041666666666665,0.0027604166666666667,-53.089364404197404,-52.316458174850126,-68.41373235012506,-2.649392603901841,34.82564890004528,-34.48576409064497,-50.464846019755946,-63.76811594202898,-61.59420289855072,-1.455858886278491,28.865231516533402
agentic,30.0,29.833237149475014,26.596569838615054,39.43620956432171,129.44975724509663,0.0,0.36072916666666666,0.146875,0.09354166666666666,0.0,0.0065625,0.0022916666666666667,-42.35432234297544,-40.703275749136736,-59.318766422113285,-10.849199148731726,32.188838129541296,-59.283857926653184,-74.0687265376841,,,-3.898177334697781,40.05363122508187
