t,wind_phase,mean_err_m,max_err_m,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,throughput_ratio,latency_proxy,control_overhead,control_effort,control_smoothness,task_reassign,task_cost_mean,failed_count,alive_ratio,task_completion_proxy,system_utility,fault_comm_scale,fault_dropout_count,fault_sensor_count,agentic_active,agentic_ref_shift,supervisor_active,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold,sat_frac
0.0,0.0,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,1.1403882032022077,1.0,1.0000000000000002,1.0,1.0,841771119.9918989,,0.0,7.3190429385894396,0.0,1.0,0.0,-3.4594311417916472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.020833333333333332,0.0,7.317959572098531,8.0538195473499,7.317959572098531,8.0538195473499,7.317959572098531,8.0538195473499,1.1403882032022077,1.0,1.0000000000000002,1.0,1.0,1663079299.8946395,11779.588233868944,0.0,7.317959572098531,0.0,1.0,0.0,-3.458347775300739,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.041666666666666664,0.0,7.275997338650955,8.008989566899599,7.275997338650955,8.008989566899599,7.275997338650955,8.008989566899599,1.1397940510213855,1.0,1.0000000000000002,1.0,1.0,1877739789.0810254,3393.2621285320656,0.0,7.275997338650955,0.0,1.0,0.0,-3.4157913896723393,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.0625,0.0,7.073839542007784,7.8070872904944695,7.073839542007784,7.8070872904944695,7.073839542007784,7.8070872904944695,1.1393505167831455,1.0,1.0000000000000002,1.0,1.0,515651064.7487955,21014.554474441567,0.0,7.073839542007784,0.0,1.0,0.0,-3.2131900587909286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.08333333333333333,0.0,6.764749247688638,7.483767547849467,6.764749247688638,7.483767547849467,6.764749247688638,7.483767547849467,1.1315787665623946,1.0,1.0000000000000002,1.0,1.0,356477056.35999995,3657.160906759218,0.0,6.764749247688638,0.0,1.0,0.0,-2.896328014251033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.10416666666666667,0.0,6.459245006671528,7.156225049128998,6.459245006671528,7.156225049128998,6.459245006671528,7.156225049128998,1.1128646024786175,1.0,1.0000000000000002,1.0,1.0,1224026331.9431624,14892.247749237718,0.0,6.459245006671528,0.0,1.0,0.0,-2.5721096091501456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5
0.125,0.0,6.150876792256129,6.8551581272892985,6.150876792256129,6.8551581272892985,6.150876792256129,6.8551581272892985,1.0834836846055538,1.0,1.0000000000000002,1.0,1.0,1792470622.885633,11080.48229622333,0.0,6.150876792256129,0.0,1.0,0.0,-2.234360476861683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.14583333333333334,0.0,5.763549261188521,6.536361609054823,5.763549261188521,6.536361609054823,5.763549261188521,6.536361609054823,1.0731247672989133,1.0,1.0000000000000002,1.0,1.0,1090112348.0041766,11636.560520250889,0.0,5.763549261188521,0.0,1.0,0.0,-1.836674028487434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5
0.16666666666666666,0.0,5.272365094764451,6.06975342926738,5.272365094764451,6.06975342926738,5.272365094764451,6.06975342926738,1.0724666931507494,1.0,1.0000000000000002,1.0,1.0,733230150.3206899,19173.635289173068,0.0,5.272365094764451,0.0,1.0,0.0,-1.3448317879152007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.21329146009706043
0.1875,0.0,4.74732201502258,5.541602856902728,4.74732201502258,5.541602856902728,4.74732201502258,5.541602856902728,1.0496983474515342,1.0,1.0000000000000002,1.0,1.0,1181469133.43324,7369.537990446337,0.0,4.74732201502258,0.0,1.0,0.0,-0.7970203624741146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75
0.20833333333333334,0.0,4.1997848977122345,5.033173837666591,4.1997848977122345,5.033173837666591,4.1997848977122345,5.033173837666591,1.0316906517972566,1.0,1.0000000000000002,1.0,1.0,1061612777.1758751,17494.55336463165,0.0,4.1997848977122345,0.0,1.0,0.0,-0.2314755495094909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5
0.22916666666666666,0.0,3.6469836881508533,4.455381577064718,3.6469836881508533,4.455381577064718,3.6469836881508533,4.455381577064718,1.0161701448083083,1.0,1.0000000000000002,1.0,1.0,736792739.5402564,5460.2598226157,0.0,3.6469836881508533,0.0,1.0,0.0,0.3368461670408385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25
0.25,0.0,3.144574409359115,3.826087340493622,3.144574409359115,3.826087340493622,3.144574409359115,3.826087340493622,1.005190034788754,1.0,1.0000000000000002,1.0,1.0,445318935.6101704,4216.8575849697045,0.0,3.144574409359115,0.0,1.0,0.0,0.8502355558521311,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2708333333333333,0.0,2.7438782075292707,3.273074575931766,2.7438782075292707,3.273074575931766,2.7438782075292707,3.273074575931766,0.9857115099091169,1.0,1.0000000000000002,1.0,1.0,1117108422.7205126,14225.779895399632,0.0,2.7438782075292707,0.0,1.0,0.0,1.2704102825616124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5
0.2916666666666667,0.0,2.5100815909594334,2.8521939222918395,2.5100815909594334,2.8521939222918395,2.5100815909594334,2.8521939222918395,0.9598649400056997,1.0,1.0000000000000002,1.0,1.0,1610446993.6579595,8539.981829362016,0.0,2.5100815909594334,0.0,1.0,0.0,1.530053469034867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75
0.3125,0.0,2.4455247858532307,2.6065900201553918,2.4455247858532307,2.6065900201553918,2.4455247858532307,2.6065900201553918,0.9639698043767835,1.0,1.0000000000000002,1.0,1.0,1877739789.0810254,3780.677161015159,0.0,2.4455247858532307,0.0,1.0,0.0,1.5905054097699858,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.3333333333333333,0.0,2.4653975338411014,2.7536551723558182,2.4653975338411014,2.7536551723558182,2.4653975338411014,2.7536551723558182,0.9202662237493047,1.0,1.0000000000000002,1.0,1.0,1406476090.0110602,7350.588906879224,0.0,2.4653975338411014,0.0,1.0,0.0,1.614336242409594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75
0.3541666666666667,0.0,2.5552367044460467,3.0250896762393826,2.5552367044460467,3.0250896762393826,2.5552367044460467,3.0250896762393826,0.8633981033291053,1.0,1.0000000000000002,1.0,1.0,1082449828.475058,5527.4061224536135,0.0,2.5552367044460467,0.0,1.0,0.0,1.581365192224848,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5
0.375,0.0,2.7376126570554513,3.2995283411695224,2.7376126570554513,3.2995283411695224,2.7376126570554513,3.2995283411695224,0.7912284054340426,1.0,1.0000000000000002,1.0,1.0,1420284487.3765574,18905.40017376641,0.0,2.7376126570554513,0.0,1.0,0.0,1.471158937510506,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75
